Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,40.900002,41.340000,40.709999,41.180000,41.180000,9795001
2022-11-10,40.540001,40.820000,40.380001,40.560001,40.560001,7642987
2022-11-11,41.500000,42.200001,41.320000,42.090000,42.090000,16330080
2022-11-14,43.650002,44.480000,43.500000,44.009998,44.009998,19335785
2022-11-15,43.250000,43.970001,43.180000,43.939999,43.939999,9882482
2022-11-16,44.099998,44.560001,44.040001,44.450001,44.450001,10696230
2022-11-17,43.610001,44.000000,43.570000,43.799999,43.799999,11486512
2022-11-18,43.750000,44.130001,43.590000,43.939999,43.939999,13079162
2022-11-21,44.060001,44.139999,42.860001,42.950001,42.950001,8744648
2022-11-22,43.400002,43.740002,43.189999,43.480000,43.480000,8576924
2022-11-23,44.150002,44.275002,43.740002,43.919998,43.919998,5361231
2022-11-24,44.599998,44.720001,44.400002,44.549999,44.549999,6643623
2022-11-25,44.349998,44.410000,44.000000,44.200001,44.200001,5597690
2022-11-28,43.720001,43.919998,43.209999,43.889999,43.889999,7480357
2022-11-29,43.990002,45.169998,43.959999,44.820000,44.820000,9429285
2022-11-30,45.150002,45.785000,44.980000,45.520000,45.520000,19611144
2022-12-01,46.200001,46.689999,46.169998,46.480000,46.480000,8645286
2022-12-02,45.910000,46.520000,45.639999,45.759998,45.759998,11869505
2022-12-05,46.500000,47.259998,46.490002,46.810001,46.810001,10053784
2022-12-06,46.419998,47.110001,46.360001,46.560001,46.560001,9290375
2022-12-07,46.740002,47.209999,46.599998,46.599998,46.599998,11541069
2022-12-08,46.349998,46.860001,46.200001,46.230000,46.230000,8678562
2022-12-09,46.830002,47.720001,46.689999,47.480000,47.480000,10228523
2022-12-12,46.980000,47.110001,46.660000,46.790001,46.790001,6647627
2022-12-13,46.990002,47.119999,45.939999,46.080002,46.080002,9277609
2022-12-14,46.180000,46.439999,45.630001,46.310001,46.310001,9705807
2022-12-15,45.830002,46.389999,45.549999,45.939999,45.939999,9333481
2022-12-16,45.750000,46.590000,45.619999,45.669998,45.669998,20995767
2022-12-19,45.509998,46.334999,45.330002,45.990002,45.990002,4387717
2022-12-20,45.480000,45.790001,45.099998,45.259998,45.259998,7289127
2022-12-21,46.020000,46.470001,45.650002,46.330002,46.330002,8259505
2022-12-22,46.650002,46.770000,46.095001,46.250000,46.250000,7515608
2022-12-23,45.970001,46.299999,45.770000,46.160000,46.160000,3886208
2022-12-28,46.430000,46.770000,46.349998,46.529999,46.529999,5521740
2022-12-29,45.970001,46.139999,45.724998,45.790001,45.790001,5380212
2022-12-30,46.040001,46.200001,45.630001,45.630001,45.630001,4860668
2023-01-03,46.099998,46.099998,44.930000,45.330002,45.330002,4480991
2023-01-04,45.299999,46.180000,45.250000,46.040001,46.040001,7802250
2023-01-05,45.980000,46.240002,45.680000,46.049999,46.049999,7536105
2023-01-06,47.110001,47.779999,46.959999,47.509998,47.509998,8106986
2023-01-09,48.000000,48.430000,47.880001,48.000000,48.000000,5757435
2023-01-10,47.580002,48.049999,47.520000,47.799999,47.799999,5653577
2023-01-11,48.650002,48.930000,48.490002,48.509998,48.509998,7432150
2023-01-12,49.000000,49.500000,48.720001,49.380001,49.380001,8825502
2023-01-13,49.250000,49.939999,49.250000,49.639999,49.639999,8519896
2023-01-16,49.810001,50.000000,49.360001,49.689999,49.689999,7479954
2023-01-17,48.849998,49.139999,48.779999,49.139999,49.139999,8822699
2023-01-18,48.700001,49.080002,48.570000,49.080002,49.080002,10719741
2023-01-19,48.980000,49.884998,48.930000,49.680000,49.680000,9277173
2023-01-20,49.700001,50.090000,49.410000,49.950001,49.950001,14265513
2023-01-23,49.650002,49.860001,49.290001,49.400002,49.400002,6668982
2023-01-24,49.700001,49.959999,49.590000,49.709999,49.709999,6310926
2023-01-25,49.689999,49.689999,49.230000,49.240002,49.240002,6326037
2023-01-27,50.169998,50.209999,49.490002,49.540001,49.540001,7342731
2023-01-30,49.110001,49.570000,49.070000,49.230000,49.230000,5164802
2023-01-31,49.599998,49.889999,49.285000,49.380001,49.380001,7053380
2023-02-01,49.980000,50.044998,49.540001,49.549999,49.549999,7138657
2023-02-02,49.410000,49.410000,48.570000,48.849998,48.849998,8169398
2023-02-03,47.689999,48.020000,47.340000,47.910000,47.910000,11000349
2023-02-06,48.439999,48.700001,48.080002,48.200001,48.200001,6167232
2023-02-07,47.950001,48.360001,47.860001,48.009998,48.009998,5702069
2023-02-08,48.250000,48.430000,47.910000,48.099998,48.099998,8159827
2023-02-09,47.799999,48.240002,47.650002,48.119999,48.119999,6092765
2023-02-10,48.009998,48.500000,47.869999,48.000000,48.000000,5398202
2023-02-13,47.779999,48.020000,47.630001,47.869999,47.869999,7354717
2023-02-14,47.990002,48.200001,47.650002,47.720001,47.720001,5799869
2023-02-15,48.200001,48.250000,47.570000,47.939999,47.939999,6687104
2023-02-16,47.990002,48.299999,47.759998,48.119999,48.119999,14993848
2023-02-17,48.599998,48.740002,48.000000,48.000000,48.000000,11579453
2023-02-20,48.200001,48.590000,48.009998,48.459999,48.459999,5648269
2023-02-20,48.200001,48.590000,48.009998,48.459999,48.459999,5645190
